Algorithm,Train_R2 score,Train_Adj_R2 score,Train_RMSE score,Test_R2 score,Test_Adj_R2 score,Test_RMSE score
Linear Regression_BE,0.7413700145321982,0.7402588223282549,0.5085567672028382,0.7684838790257884,0.7661512228950659,0.48141725211847264
Linear Regression_RFE,0.7421913484951395,0.7405262764725031,0.5077486105395665,0.7701070591680129,0.7666150144971473,0.47972665405889275
Linear Regression_ECV,0.7417968970744502,0.7395686070815652,0.5081368938834788,0.7692770795133833,0.7645804297324853,0.4805918494785461
Linear Regression_Lasso,0.7417184219813834,0.7394894547492917,0.5082141064734592,0.7692116617470076,0.7645136803067432,0.4806599766872733
Decision tree regressor,0.8748639314161146,0.8743262898754749,4281.177275363867,0.8603814426488101,0.8589747065545916,4524.541357602806
Random Forest regressor,,,,,,
Adaboost regressor,,,,,,
Gradient Boost regressor,0.8364692237893084,0.8354130508536097,4894.087247507684,0.8424122101710032,0.8400184715913223,4806.890969448481
XGBoost regressor,0.8845090236478113,0.8837631185260533,4112.879490606463,0.8628221982991082,0.8607384848555504,4484.818879951548
